???#?????#?.#???#??? 9,7
#???#.?#?? 2,1,2
?..????.###????? 1,1,7
.#?#???#??? 5,3
.#?.?????#?##?..#?# 1,2,1,3,1,1
??#??#?#???.??? 8,1,3
.?#?#?#??#..?? 6,1,1
??#??.?#??? 3,2
?????#?##??.??. 1,6,1
??#?#???## 5,2
??????#????##??? 1,7
.?##?..??. 2,2
??#??#??.??????? 5,5
.?#?#??????.? 3,2
?#???###?..??? 7,1
??????????? 1,2,1
??????#.#???.???? 1,3,1,1,4
??#..#?#?#?.??#?. 3,1,4,1,2
?#?#??###?????.?? 1,9,1
???#??#??#????? 1,5,1,1,1
?#???##???...?.?#? 9,2
??#???#???#?.?.#?. 2,1,6,1,2
??.????..?.? 2,1,1,1
???????????? 6,2
?.????#?#????#??#?? 2,1,1,1,4,1
.???????#?? 1,3
??????#??#???#.?#?#? 1,1,2,6,2,2
?#???.????.??.?? 2,3,2,1
???##..??????#?? 1,2,1,5
???????.?#??????# 6,6,1
??????????? 2,4,1
??#.???#?# 1,3
???.?????? 1,6
??#.????.? 1,1,1
??????#?#..??####?? 7,1,6
..?..??????#????? 1,1,7,1
?????#.#?????#????#? 6,2,7
???.????????? 1,6,2
#??##??#??##?. 1,2,2,2
?????????.?#?????? 1,1,1,5,1
.??.??..?#??##?## 1,1,2,2,2
??#?##???.? 4,1
???#??.?..???????... 3,5
???.#?#?#.? 2,3,1
.?????#???####.#.?? 1,3,4,1,1
?#???#???.??? 2,1,1,1
?????????.? 1,4
..??.??..???##?#??.? 2,2,1,6,1
#??#?#??#..?#?????? 9,3,1
??????.???#.???? 1,3,4,1,1
???#?????????? 2,1,4
???????##???#?#??#?. 1,13
##???????? 2,1,3
#.#????##????#??# 1,7,4,1
???.??.???#? 1,1,3
.??????#.????????#?? 7,1,1,1,1,1
?..?#????? 3,1
?..?.#????#????#?? 1,1,9,1
??.?.?.?#???#?? 1,1,2,1,1
?.????.???##?#?#?#?? 1,11
??????#???.# 2,1,3,1
.?????????##?. 4,5
?.???????.???#??#. 3,1,5
??#?#.???.?.???##?? 4,1,1,6
?#?#???#?????.####?? 12,6
##????#???? 3,3
??????###?? 1,5
?.?#?#?????##????? 12,2
??#?.#.?.????#??#?. 1,1,2,6
???.???#?#???.?## 1,1,4,1,3
?.??????????.???? 1,2,4,1,2
..?#??.????? 2,2
?#.??.?????#??# 1,1,1,3,2
?##??.?#????#?# 4,4,3
?..#??#???.#??#? 4,5
??.??????? 1,2
?#??..#???????..?? 2,6,2
.#????.????#?#????? 1,1,1,8,1
#?#???#??#???#?????? 7,9,1
?.##?#??.? 4,1
#?##?.????.##?.. 4,1,3
.?#?.???##?. 3,4
#.???##?????.#. 1,5,3,1
?????#?#?#??.?#??. 10,3
?.?#..??.#??#??????? 1,2,1,7,1,1
#####??##???.??????? 10,1,1,2,1
???.????##????#.## 2,1,9,2
.#?.?..??#?#?.. 2,4
##?#..?#??#?# 4,6
##?#???..#?#.?## 5,1,3,2
??#..#??##.. 3,1,2
??????.??.???. 1,4,1,2
?.????????#??#?#??? 1,1,1,1,8
#?##?????#???#.????? 14,1,2
??###.??????.?###?? 4,1,1,3,1
???????.???. 3,2
?#??##????.????.#.?? 2,2,1,4,1,1
.#?????.?????? 1,3,2,3
?##????.?? 4,2
#.##.?????###???? 1,2,9
???##??#.?#? 4,1,1
??##???#????? 3,3
?#???#?????.???#???? 10,1,1,1
?#??..#.?.#? 2,1,1,2
??????.??.##?#?? 1,1,1,2,2
??###????????. 5,1
????##???#.???? 6,1,1,1
.?.????##?? 1,1,3
.#??.???..????#.???. 2,2,2,1,3
?????.???#?##???. 1,1,4,2,1
.??#?.??#???#.? 1,2,3,1
..???????????????? 3,4
???#.?????. 4,1
?..????#???.??...? 1,7,2,1
???????#??#?#? 4,6
.?#???.?##???#?.## 4,7,2
#??.??#?.???. 3,2
???#???????#?.?#? 1,1,5,2
#.???###??.?##???#? 1,1,4,7
???#??.??????.??#.. 4,3
????.#?#?##.##???? 1,6,3
?#.??????? 1,6
#???##?#?..??????.?? 1,7,1,1,1,1
?????????.#? 1,1,1,1
.?..?#?##?? 5,1
..???????????? 2,8
...??.?..?#?#? 1,3
??#??#???????.?? 7,1,1
????#.???#?###.?? 5,8
.????####??#??.????? 11,2
?.??????????...?? 1,2,1,2,1
?.?##??????.?..#. 6,1
#??.?????????.? 3,1,3,1
???.#??#????.?. 2,7
???.#?.?.?#?#???? 2,1,1,2,5
??????.??##?.?.#?..? 2,4,2
?????#?????.????#? 11,5
?##.??????.??#?##?? 3,3,1,1,4,1
???.??#????#?????? 4,5
?.?.?.#?#??.??? 1,1,5,1
.?.??##???##. 6,2
.?????.#?. 2,1
..???.?.???##?#?? 1,1,1,8
??#??#??#??#?#?#?. 9,6
...????.????.???? 1,3
?#???.??.##?#???? 2,1,1,7
.#?.??#???#???#?? 2,1,5,1,3
#???.#??#. 1,1,1
#????????#?#??.#?.? 1,1,9,1,1
????#???????#? 2,3,4
.????#?.??? 6,1
.??.???##?#..?? 1,5,1
?#?????#??#.???#??# 6,2,1,1,1,2
.?????#?##..#??# 9,1,1
?#???.??#.????????? 4,1,5
???????#???#.?..??? 5,2,1,1,2
.???##?.?#? 6,2
??#???#???#?????? 3,11
????##??##.????#.? 9,4,1
